0,4,5,6,7
"Масло моторное полусинтетическое Mobil Super 2000 X3 5W40, 1 л, ACEA A3/B4, API SN+: MB-229.3, VW 502.00/505.00 155338 Финляндия 1/12 шт.",0.008,8.0,3152.83,394.10375
"Масло моторное полусинтетическое Mobil Super 2000 X3 5W40, 4 л, ACEA A3/B4, API SN+: MB-229.3, VW 502.00/505.00 155337 Финляндия 1/4 шт.",0.032,8.0,11132.08,1391.51
"Масло моторное полусинтетическое Mobil Super 2000 X3 5W40, разл., ACEA A3/B4 API SN+, MB-229.3, VW 502 00/505 00 155334 Финляндия 1/208 л.",0.624,624.0,163433.92,261.91333333333336
"Масло моторное полусинтетическое Mobil Ultra 10W40, 1 л, ACEA A3/B3, API SL/SJ/CF 152625 Финляндия 1/12 шт.",0.171,171.0,42731.15,249.88976608187136
"Масло моторное полусинтетическое Mobil Ultra 10W40, 4 л, ACEA A3/B3, API SL/SJ/CF 152624 Финляндия 1/4 шт.",0.552,138.0,119115.54,863.1560869565217
"Масло моторное полусинтетическое Mobil Ultra 10W40, разл., ACEA A3/B3, API SL/SJ/CF 152196 Финляндия 1/208 л.",0.416,416.0,80899.52,194.47
"Масло моторное полусинтетическое Shell Helix Diesel HX7 10W40, 1 л, ACEA A3/B3/B4, API CF 550021837 Россия 1/12 шт.",0.012,12.0,4282.52,356.8766666666667
"Масло моторное полусинтетическое Shell Helix Diesel HX7 10W40, 4 л, ACEA A3/B3/B4, API CF 550021836 Россия 1/4 шт.",0.088,22.0,24370.72,1107.76
"Масло моторное полусинтетическое Shell Helix HX7 10W40,  разл., ACEA A3/B3/B4, ACEA SN 550051572 Россия 1/209 л.",0.627,627.0,122152.08,194.8199043062201
"Масло моторное полусинтетическое Shell Helix HX7 10W40, 1 л, ACEA A3/B3/B4, API SN 550022249 Россия 1/12 шт.",0.016,16.0,5115.02,319.68875
"Масло моторное полусинтетическое Shell Helix HX7 10W40, 4 л, ACEA A3/B3/B4, API SN 550022248 Россия 1/4 шт.",0.052,13.0,13009.39,1000.7223076923076
"Масло моторное полусинтетическое Shell Helix HX7 5W40,  разл., ACEA A3/B3/B4, API SN/CF 550040319 / 55005149 Россия 1/209 л.",0.627,627.0,158045.67,252.06645933014357
"Масло моторное полусинтетическое Shell Helix HX7 5W40, 1 л, ACEA A3/B3/B4, API SN/CF 550021815 Россия 1/12 шт.",0.009,9.0,3706.65,411.85
"Масло моторное полусинтетическое Shell Helix HX7 5W40, 4 л, ACEA A3/B3/B4, API SN/CF 550021779 Россия 1/4 шт.",0.064,16.0,20495.21,1280.950625
"Масло моторное полусинтетическое Spectrol Дипкурьер 10W40, 1 л, API SL/CF, ACEA A3/B3 9075 Россия 1/12 шт.",0.041,41.0,6874.16,167.66243902439024
"Масло моторное полусинтетическое Spectrol Дипкурьер 10W40, 4 л, API SL/CF, ACEA A3/B3 9074 Россия 1/4 шт.",0.16,40.0,25573.38,639.3345
"Масло моторное полусинтетическое Spectrol Дипкурьер 10W50, 1 л, API SL/CF, ACEA A3/B3 9071 Россия 1/12 шт.",0.015,15.0,2564.36,170.95733333333334
"Масло моторное полусинтетическое Spectrol Дипкурьер 10W50, 4 л, API SL/CF, ACEA A3/B3 9070 Россия 1/4 шт.",0.032,8.0,5345.06,668.1325
"Масло моторное полусинтетическое Spectrol Дипкурьер 10W50, 5 л, API SL/CF, ACEA A3/B3 9069 Россия 1/4 шт.",0.035,7.0,5688.17,812.5957142857143
"Масло моторное полусинтетическое Spectrol Капитал 5W30, 1 л, API SL/CF, ACEA A3/B3 9676 Россия 1/12 шт.",0.026,26.0,4540.12,174.62
"Масло моторное полусинтетическое Spectrol Капитал 5W30, 4 л, API SL/CF, ACEA A3/B3 9677 Россия 1/4 шт.",0.092,23.0,14846.9,645.5173913043478
"Масло моторное полусинтетическое Spectrol Капитал 5W40,  разл., API SL/CF, ACEA A3/B3 9954 Россия 1/208 л.",1.716,1716.0,243912.88,142.14037296037296
"Масло моторное полусинтетическое Spectrol Капитал 5W40, 1 л, API SL/CF, ACEA A3/B3 9056 Россия 1/12 шт.",0.063,63.0,11349.29,180.14746031746034
"Масло моторное полусинтетическое Spectrol Капитал 5W40, 4 л, API SL/CF, ACEA A3/B3 9055 Россия 1/4 шт.",0.152,38.0,25152.72,661.9136842105263
"Масло моторное полусинтетическое Spectrol Капитал 5W40, 5 л, API SL/CF, ACEA A3/B3 9054 Россия 1/4 шт.",0.04,8.0,6404.25,800.53125
"Масло моторное полусинтетическое Spectrol Турбо Универсал 10W40,  разл., API СG-4/SJ, ACEA A3/B3/B4, E2 9910 Россия 1/208 л.",0.624,624.0,86203.92,138.1473076923077
"Масло моторное полусинтетическое Spectrol Турбо Универсал 10W40, 1 л, API СG-4/SJ, ACEA A3/B3/B4, E2 9212 Россия 1/12 шт.",0.014,14.0,2462.48,175.89142857142858
"Масло моторное полусинтетическое Spectrol Турбо Универсал 10W40, 30 л, API СG-4/SJ, ACEA A3/B3/B4, E2 9220 Россия 1/1 шт.",0.09,3.0,13715.11,4571.703333333334
"Масло моторное полусинтетическое Spectrol Турбо Универсал 10W40, 4 л, API СG-4/SJ, ACEA A3/B3/B4, E2 9211 Россия 1/4 шт.",0.096,24.0,15435.72,643.155
"Масло моторное полусинтетическое Spectrol Турбо Универсал 10W40, 5 л, API СG-4/SJ, ACEA A3/B3/B4, E2 9210 Россия 1/4 шт.",0.025,5.0,4061.18,812.236
"Масло моторное полусинтетическое ZIC 10W40 X5 Diesel, 1 л, ACEA A3/B3/B4/E7, API CI-4/SL 132660 Корея, Республика 1/12 шт.",0.01,10.0,3036.71,303.671
"Масло моторное полусинтетическое ZIC 10W40 X5 Diesel, 4 л, ACEA A3/B3/B4/E7, API CI-4/SL 162660 Корея, Республика 1/4 шт.",0.044,11.0,10101.4,918.3090909090909
"Масло моторное полусинтетическое ZIC 10W40 X5 Diesel, 6 л, ACEA A3/B3/B4/E7, API CI-4/SL 172660 Корея, Республика 1/3 шт.",0.024,4.0,6025.08,1506.27
"Масло моторное полусинтетическое ZIC 10W40 X5, 1 л, API SM 132622 Корея, Республика 1/12 шт.",0.066,66.0,18840.01,285.45469696969695
"Масло моторное полусинтетическое ZIC 10W40 X5, 4 л, API SN 162622 Корея, Республика 1/4 шт.",0.224,56.0,48554.73,867.04875
"Масло моторное полусинтетическое ZIC 10W40 X5000,  разл., ACEA E3/E5/E7, API CI-4/SL 202658 Корея, Республика 1/200 л.",0.567,567.0,106487.01,187.80777777777777
"Масло моторное полусинтетическое ZIC 10W40, 6 л, X5000 API CI-4/SL 172658 Корея, Республика 1/3 шт.",0.036,6.0,8876.6,1479.4333333333334
"Масло моторное полусинтетическое ZIC 5W30 X5 Diesel, 1 л, API CI-4 132671 Корея, Республика 1/12 шт.",0.004,4.0,1335.96,333.99
"Масло моторное полусинтетическое ZIC 5W30 X5 Diesel, 4 л, API CI-4 162671 Корея, Республика 1/4 шт.",0.008,2.0,2092.16,1046.08
"Масло моторное полусинтетическое ZIC 5W30 X5, 1 л, API SN, ILSAC GF-5 132621 Корея, Республика 1/12 шт.",0.033,33.0,10293.63,311.92818181818177
"Масло моторное полусинтетическое ZIC 5W30 X5, 4 л, API SN, ILSAC GF-5 162621 Корея, Республика 1/4 шт.",0.156,39.0,38567.19,988.9023076923078
"Масло моторное полусинтетическое ZIC 5W30 X5, 6 л, API SN, ILSAC GF-5 172621 Корея, Республика 1/3 шт.",0.024,4.0,6392.27,1598.0675
"Масло моторное полусинтетическое ZIC M5 4T 10W40, 1 л, 137212 Корея, Республика 1/12 шт.",0.012,12.0,3528.84,294.07
"Масло моторное синтетическое BP VISCO 5000 5w30, 1 л, ACEA A3/B3/B4, API SL/CF 15806F Соединённое Королевство 1/12 шт.",0.001,1.0,450.1,450.1
"Масло моторное синтетическое BP VISCO 5000 5w40, 1 л, API SL/CF 4027720060 Соединённое Королевство 1/12 шт.",0.009,9.0,3855.06,428.34
"Масло моторное синтетическое BP VISCO 5000 5w40, 4 л, API SL/CF 114502 Соединённое Королевство 1/4 шт.",0.028,7.0,10862.64,1551.8057142857142
"Масло моторное синтетическое Castrol 15667C EDGE 5W30 LL, 1 л, ACEA C3 API SN/CF Германия 1/12 шт.",0.075,75.0,55609.45,741.4593333333333
"Масло моторное синтетическое Castrol 15669A EDGE 5W30 LL, 4 л, ACEA C3, API SN/CF Германия 1/4 шт.",0.336,84.0,231877.63,2760.4479761904763
"Масло моторное синтетическое Castrol 156E8B EDGE Titanium 0W40, 1 л, ACEA A3/B4. API SN/CF Германия 1/12 шт.",0.003,3.0,2337.67,779.2233333333334
"Масло моторное синтетическое Castrol 156E8C EDGE Titanium 0W40, 4 л, ACEA A3/B4, API SN/CF Германия 1/4 шт.",0.092,23.0,66446.86,2888.993913043478
"Масло моторное синтетическое Castrol 156E9E Magnatec 5W40, 4 л, ACEA A3/B4, API SN/CF Германия 1/4 шт.",0.048,12.0,22719.82,1893.3183333333334
"Масло моторное синтетическое Castrol 156ED5 Magnatec 5W30, 4 л, ACEA A3/B3, A3/B4, API SL/CF Германия 1/4 шт.",0.04,10.0,20214.54,2021.4540000000002
"Масло моторное синтетическое Castrol 156EDC Magnatec Diesel 5W40 DPF, 1 л, ACEA C3, API SN/CF BMW Longlife-01 Германия 1/12 шт.",0.006,6.0,3284.26,547.3766666666667
"Масло моторное синтетическое Castrol 156EDD Magnatec Diesel 5W40 DPF, 4 л, ACEA C3, API SN/CF,BMW Longlife-01 Германия 1/4 шт.",0.128,32.0,60529.0,1891.53125
"Масло моторное синтетическое Castrol 157B1B EDGE Titanium 5W40, 1 л, ACEA C3, API SN/CF Германия 1/12 шт.",0.023,23.0,14750.03,641.305652173913
"Масло моторное синтетическое Castrol 157B1C EDGE Titanium 5W40, 4 л, ACEA C3, API SN/CF Германия 1/4 шт.",0.032,8.0,18523.82,2315.4775
"Масло моторное синтетическое Castrol 157E5C EDGE Turbo Diesel Titanium 0W30, 4 л, ACEA C3, API SN, BMW Longlife-04 Германия 1/4 шт.",0.032,8.0,24684.06,3085.5075
"Масло моторное синтетическое Castrol 157E6A EDGE Titanium 0W30, 1 л, ACEA A3/B3, A3/B4, API SL/CF Германия 1/12 шт.",0.065,65.0,52454.75,806.9961538461539
"Масло моторное синтетическое Castrol 157E6B EDGE Titanium 0W30, 4 л, ACEA A3/B3, A3/B4, API SL/CF Германия 1/4 шт.",0.128,32.0,97552.82,3048.525625
"Масло моторное синтетическое Castrol 15C926 Magnatec 5W30, DUALOCK 1 л, ACEA A3/B3, A3/B4, API SL/CF Германия 1/12 шт.",0.085,85.0,51248.16,602.9195294117648
"Масло моторное синтетическое Castrol 15C9DF Magnatec 5W40, DUALOCK 1 л, ACEA A3/B4, API SN/CF Германия 1/12 шт.",0.115,115.0,65294.02,567.7740869565217
"Масло моторное синтетическое Castrol 15CA3A Magnatec 5W30, DUALOCK 1 л,  ACEA A1/B1, A5/B5, API SN/CF Германия 1/12 шт.",0.024,24.0,14284.98,595.2075
"Масло моторное синтетическое Castrol 15CA3B Magnatec 5W30, DUALOCK 4 л, ACEA A1/B1, A5/B5, API SN/CF Германия 1/4 шт.",0.044,11.0,21936.7,1994.2454545454545
"Масло моторное синтетическое Castrol Magnatec 5W30 DUALOCK. разл., ACEA A3/B4, API SL/CF 15C924 Германия 1/208 л.",0.208,208.0,73968.36,355.6171153846154
"Масло моторное синтетическое Castrol Magnatec 5W40 DUALOCK, разл., ACEA A3/B4, API SN/CF 15C9DD Германия 1/208 л.",0.416,416.0,140544.94,337.8484134615385
"Масло моторное синтетическое Elf Evolution 900 NF (Excellium NF) 5W40, 1 л, SL/CF 194875 Румыния 1/18 шт.",0.035,35.0,17686.46,505.3274285714285
"Масло моторное синтетическое Elf Evolution 900 NF (Excellium NF) 5W40, 4 л, SL/CF 194873 Румыния 1/4 шт.",0.112,28.0,47295.69,1689.1317857142858
"Масло моторное синтетическое Elf Evolution 900 SXR (Evolution SXR) 5W30, 1 л, ACEA A5/B5, API SL/CF, RENAULT Gasoline RN0700 194832 Румыния 1/18 шт.",0.05,50.0,26832.74,536.6548
"Масло моторное синтетическое Elf Evolution 900 SXR (Evolution SXR) 5W30, 4 л, ACEA A5/B5, API SL/CF, RENAULT Gasoline RN0700 10160501 Румыния 1/4 шт.",0.14,35.0,61287.03,1751.058
"Масло моторное синтетическое Mannol Diesel Turbo 5W40, 1 л, API CI-4/SL, ACEA A3/B4 1010 Германия 1/20 шт.",0.026,26.0,8109.71,311.9119230769231
"Масло моторное синтетическое Mannol Diesel Turbo 5W40, 20 л, API CI-4/SL, ACEA A3/B4 1052 Германия 1/1 шт.",0.02,1.0,5046.98,5046.98
"Масло моторное синтетическое Mannol Diesel Turbo 5W40, 5 л, API CI-4/SL, ACEA A3/B4 1011 Германия 1/4 шт.",0.155,31.0,42774.37,1379.8183870967744
"Масло моторное синтетическое Mannol Elite 5W40, 1 л, API SN/CH-4, ACEA A3/B4 1005 Германия 1/20 шт.",0.067,67.0,22312.1,333.01641791044773
"Масло моторное синтетическое Mannol Elite 5W40, 4 л, API SN/CH-4, ACEA A3/B4 1006 Германия 1/4 шт.",0.264,66.0,60364.25,914.6098484848485
"Масло моторное синтетическое Mannol Elite 5W40, SM/CF,  3л.+1л. в подарок OIL871 Германия 1/4 шт.",0.032,8.0,7477.62,934.7025
"Масло моторное синтетическое Mannol Energy 5W30, 1 л, API SN/CH-4, ACEA A3/B3 7016 Германия 1/20 шт.",0.064,64.0,15119.56,236.243125
"Масло моторное синтетическое Mannol Energy 5W30, 4 л, API SN/CH-4, ACEA A3/B3 7017 Германия 1/4 шт.",0.312,78.0,64605.79,828.279358974359
"Масло моторное синтетическое Mannol Extreme 5W40, 1 л, API SN/CH-4, ACEA A3/B4 1020 Германия 1/20 шт.",0.062,62.0,19192.41,309.555
"Масло моторное синтетическое Mannol Extreme 5W40, 4 л, API SN/CH-4, ACEA A3/B4 1021 Германия 1/4 шт.",0.152,38.0,42069.14,1107.0826315789473
"Масло моторное синтетическое Mobil 1 0W20, 1 л, ACEA A1/B1, API SN Plus/SN/SM/CF;  ILSAC GF-5 152560 Финляндия 1/12 шт.",0.011,11.0,8588.03,780.73
"Масло моторное синтетическое Mobil 1 0W20, 4 л, ACEA A1/B1, API SN Plus/SN/SM/CF;  ILSAC GF-5 152559 Финляндия 1/4 шт.",0.088,22.0,60276.27,2739.8304545454544
"Масло моторное синтетическое Mobil 1 0W20, разл., ACEA A1/B1, API SN Plus/SN/SM/CF;  ILSAC GF-5 155050 Финляндия 1/208 л.",1.072,1072.0,612961.12,571.7920895522388
"Масло моторное синтетическое Mobil 1 0W40, 1 л, ACEA A3/B3/B4, API SN/SM/CF 152536 Финляндия 1/12 шт.",0.001,1.0,713.27,713.27
"Масло моторное синтетическое Mobil 1 ESP 0W30, для а/м с сажевым фильтром (DPF), 1 л, ACEA C2/C3, API SN/SL 153753 Финляндия 1/12 шт.",0.053,53.0,39847.06,751.8313207547169
"Масло моторное синтетическое Mobil 1 ESP 0W30, для а/м с сажевым фильтром (DPF), 4 л, ACEA C2/C3, API SN/SL 153754 Финляндия 1/4 шт.",0.22,55.0,148179.69,2694.1761818181817
"Масло моторное синтетическое Mobil 1 ESP 0W30, разл., ACEA C2/C3, API SN/SL 153752 Финляндия 1/208 л.",1.18,1180.0,679690.08,576.0085423728813
